0	-1.5
0.5	-13.98
1	4.089
1.5	4.045
2	4.141
2.5	4.881
3	7.135
3.5	9.001
4	10.238
4.5	11.641
5	13.245
5.5	14.964
6	16.594
6.5	18.997
7	19.117
7.5	19.812
8	20.862
8.5	52.2
9	52.87
9.5	53.71
10	54.37
10.5	55.3
11	56.115
11.5	56.931
12	57.703
12.5	58.224
13	58.649
13.5	59.352
14	60.787
14.5	60.892
15	61.382
15.5	61.852
16	62.544
16.5	62.776
17	63.652
17.5	63.975
18	64.415
18.5	64.818
19	65.139
19.5	65.578
20	65.864
20.1	65.871
20.2	65.875
20.3	65.921
20.4	65.93
20.5	65.945
20.6	65.958
20.7	65.968
20.8	65.981
20.9	65.985
21	66.001
21.1	66.076
21.2	66.144
21.3	66.202
21.4	66.233
21.5	66.29
21.6	66.319
21.7	66.345
21.8	66.391
21.9	66.415
22	66.564
22.1	66.901
22.2	66.98
22.3	67.112
22.4	67.311
22.5	67.415
22.6	67.512
22.7	67.523
22.8	67.672
22.9	67.679
23	67.761
23.1	67.775
23.2	67.831
23.3	67.853
23.4	67.872
23.5	67.891
23.6	67.928
23.7	67.932
23.8	67.985
23.9	67.991
24	68.083
24.1	68.135
24.2	68.182
24.3	68.298
24.4	68.346
24.5	68.358
24.6	68.367
24.7	68.485
24.8	68.537
24.9	68.599
25	68.622
25.1	68.702
25.2	68.753
25.3	68.825
25.4	68.845
25.5	68.981
25.6	68.99
25.7	69.045
25.8	69.137
25.9	69.147
26	69.167
26.1	69.133
26.2	69.19
26.3	69.235
26.4	69.25
26.5	69.314
26.6	69.429
26.7	69.521
26.8	69.591
26.9	69.608
27	69.684
27.1	69.707
27.2	69.858
27.3	70.224
27.4	70.442
27.5	70.762
27.6	71.116
27.7	71.666
27.8	72.091
27.9	72.672
28	73.225
28.1	73.881
28.2	74.46
28.3	75.197
28.4	76.243
28.5	77.115
28.6	78.091
28.7	79.21
28.8	80.113
28.9	81.267
29	82.361
29.1	83.654
29.2	84.695
29.3	86.221
29.4	87.623
29.5	89.001
29.6	90.713
29.7	92.515
29.8	94.166
29.9	96.013
30	97.577
30.1	99.79
30.2	101.98
30.3	104.181
30.4	106.609
30.5	108.93
30.6	111.68
30.7	113.778
30.8	116.651
30.9	119.512
31	122.377
